Date,Variable,Value
01/03/2022,KBP1166M,3771770
01/03/2022,KBP1347M,4206033
01/03/2022,KBP1486M,7.75
01/04/2022,KBP1008M,407902
01/04/2022,KBP1123M,168732
01/04/2022,KBP1132M,6845765
01/04/2022,KBP1166M,3801835
01/04/2022,KBP1347M,4204963
01/04/2022,KBP1486M,7.75
01/05/2022,KBP1008M,381060
01/05/2022,KBP1123M,169758
01/05/2022,KBP1132M,6903886
01/05/2022,KBP1166M,3814997
01/05/2022,KBP1347M,4209232
01/05/2022,KBP1486M,8.25
01/06/2022,KBP1008M,385001
01/06/2022,KBP1123M,169632
01/06/2022,KBP1132M,7059627
01/06/2022,KBP1166M,3867081
01/06/2022,KBP1347M,4277972
01/06/2022,KBP1486M,8.25
01/07/2022,KBP1008M,375753
01/07/2022,KBP1123M,169543
01/07/2022,KBP1132M,7056236
01/07/2022,KBP1166M,3900803
01/07/2022,KBP1347M,4292202
01/07/2022,KBP1486M,9
01/08/2022,KBP1008M,385292
01/08/2022,KBP1123M,170582
01/08/2022,KBP1132M,7104390
01/08/2022,KBP1166M,3967891
01/08/2022,KBP1347M,4353553
01/08/2022,KBP1486M,9
01/09/2022,KBP1008M,385746
01/09/2022,KBP1123M,172597
01/09/2022,KBP1132M,7270986
01/09/2022,KBP1166M,4001386
01/09/2022,KBP1347M,4411357
01/09/2022,KBP1486M,9.75
01/10/2022,KBP1008M,390381
01/10/2022,KBP1123M,175362
01/10/2022,KBP1132M,7312771
01/10/2022,KBP1166M,4001351
01/10/2022,KBP1347M,4405164
01/10/2022,KBP1486M,9.75
01/11/2022,KBP1008M,379491
01/11/2022,KBP1123M,174187
01/11/2022,KBP1132M,7277262
01/11/2022,KBP1166M,4037061
01/11/2022,KBP1347M,4425162
01/11/2022,KBP1486M,10.5
01/12/2022,KBP1008M,376061
01/12/2022,KBP1123M,174368
01/12/2022,KBP1132M,7222375
01/12/2022,KBP1166M,4054014
01/12/2022,KBP1347M,4417994
01/12/2022,KBP1486M,10.5
01/01/2023,KBP1008M,401175
01/01/2023,KBP1123M,177529
01/01/2023,KBP1132M,7284714
01/01/2023,KBP1166M,4094749
01/01/2023,KBP1347M,4464464
01/01/2023,KBP1486M,10.75
01/02/2023,KBP1008M,399021
01/02/2023,KBP1123M,180111
01/02/2023,KBP1132M,7393842
01/02/2023,KBP1166M,4128050
01/02/2023,KBP1347M,4498880
01/02/2023,KBP1486M,10.75
01/03/2023,KBP1008M,385219
01/03/2023,KBP1123M,181638
01/03/2023,KBP1132M,7314735
01/03/2023,KBP1166M,4140344
01/03/2023,KBP1347M,4510149
01/03/2023,KBP1486M,11.25
01/04/2023,KBP1008M,388570
01/04/2023,KBP1123M,183982
01/04/2023,KBP1132M,7407195
01/04/2023,KBP1166M,4146377
01/04/2023,KBP1347M,4502436
01/04/2023,KBP1486M,11.25
01/05/2023,KBP1008M,399583
01/05/2023,KBP1123M,187127
01/05/2023,KBP1132M,7599696
01/05/2023,KBP1166M,4097299
01/05/2023,KBP1347M,4497381
01/05/2023,KBP1486M,11.75
01/06/2023,KBP1008M,401719
01/06/2023,KBP1123M,188951
01/06/2023,KBP1132M,7530115
01/06/2023,KBP1166M,4160883
01/06/2023,KBP1347M,4545543
01/06/2023,KBP1486M,11.75
01/07/2023,KBP1008M,390956
01/07/2023,KBP1123M,191013
01/07/2023,KBP1132M,7517305
01/07/2023,KBP1166M,4164897
01/07/2023,KBP1347M,4549328
01/07/2023,KBP1486M,11.75
01/08/2023,KBP1008M,400305
01/08/2023,KBP1123M,192554
01/08/2023,KBP1132M,7527640
01/08/2023,KBP1166M,4170908
01/08/2023,KBP1347M,4548669
01/08/2023,KBP1486M,11.75
01/09/2023,KBP1008M,401684
01/09/2023,KBP1123M,192193
01/09/2023,KBP1132M,7589618
01/09/2023,KBP1166M,4222069
01/09/2023,KBP1347M,4617862
01/09/2023,KBP1486M,11.75
01/10/2023,KBP1008M,378645
01/10/2023,KBP1123M,193708
01/10/2023,KBP1132M,7533079
01/10/2023,KBP1166M,4198381
01/10/2023,KBP1347M,4582735
01/10/2023,KBP1486M,11.75
01/11/2023,KBP1008M,375989
01/11/2023,KBP1123M,193501
01/11/2023,KBP1132M,7607480
